#{"t_start": 1781067866.7056441, "env_id": "None"}
r,l,t,task_success,target
113.05072,27,1719.688789,True,potato
113.592635,21,1725.672608,True,potato
111.687992,22,1732.732587,True,potato
114.076334,22,1739.222408,True,potato
111.122873,20,1744.443314,True,potato
114.237929,23,1751.703365,True,potato
112.469315,22,1757.165407,True,potato
122.64207,32,1763.626758,True,potato
128.37554,29,1770.269127,True,potato
112.136321,24,1775.619321,True,potato
115.118809,31,1781.848509,True,potato
115.855829,21,1787.424597,True,potato
111.931274,34,1794.12968,True,potato
111.931096,23,1801.316231,True,potato
113.886371,19,1807.014333,True,potato
112.067129,33,1813.536348,True,potato
128.457701,25,1819.525864,True,potato
114.567443,21,1826.560337,True,potato
110.156136,18,1832.180439,True,potato
13.0494,20,1837.570184,False,potato
114.799037,18,1843.613626,True,potato
112.018823,20,1850.964453,True,potato
115.724851,24,1857.860736,True,potato
130.105404,21,1863.58144,True,potato
150.043551,28,1871.142212,True,potato
115.501889,29,1878.084478,True,potato
131.009397,22,1885.897638,True,potato
115.335044,18,1891.692299,True,potato
129.480146,24,1896.742089,True,potato
112.765049,26,1903.662968,True,potato
112.100307,18,1909.168947,True,potato
133.665308,23,1915.845148,True,potato
114.231646,24,1922.932005,True,potato
112.67588,20,1928.300521,True,potato
114.339813,20,1934.298212,True,potato
114.284353,19,1941.114951,True,potato
112.55371,24,1948.053524,True,potato
113.870186,27,1954.773583,True,potato
151.560275,18,1959.628581,True,potato
114.762338,25,1966.672965,True,potato
112.730739,24,1972.679593,True,potato
149.391457,24,1978.896538,True,potato
113.320022,26,1985.756388,True,potato
130.921507,25,1990.720895,True,potato
109.793051,25,1996.389633,True,potato
143.949178,34,2003.516243,True,potato
108.989936,34,2011.052844,True,potato
132.861155,20,2017.529795,True,potato
114.247284,20,2025.275988,True,potato
110.370388,21,2031.21548,True,potato
109.131792,22,2037.265675,True,potato
111.341939,24,2041.981794,True,potato
115.113522,25,2047.984605,True,potato
134.80554,22,2053.948898,True,potato
116.18949,26,2061.060608,True,potato
130.851545,33,2067.495363,True,potato
113.678406,21,2074.941243,True,potato
116.423217,24,2081.582016,True,potato
113.170578,24,2087.956111,True,potato
112.999315,25,2094.379776,True,potato
108.499111,57,2103.358533,True,potato
11.092055,27,2128.150867,False,potato
116.400613,19,2135.902101,True,potato
112.582259,18,2142.161789,True,potato
115.523547,25,2148.832342,True,potato
117.362795,30,2155.876091,True,potato
111.726039,27,2163.010463,True,potato
115.798644,17,2170.73571,True,potato
134.737237,18,2177.843317,True,potato
115.873217,23,2183.512419,True,potato
114.488315,25,2189.772399,True,potato
132.20533,35,2196.600025,True,potato
130.750826,30,2202.886717,True,potato
110.458211,35,2209.844936,True,potato
113.748823,18,2216.114948,True,potato
114.90554,17,2221.330271,True,potato
113.538211,23,2227.780998,True,potato
133.978491,20,2233.418697,True,potato
129.121739,22,2240.823369,True,potato
133.941526,21,2247.011564,True,potato
131.032636,34,2252.740092,True,potato
115.364403,22,2258.843322,True,potato
131.727645,26,2267.870075,True,potato
120.192908,25,2273.568603,True,potato
128.577992,22,2279.232949,True,potato
114.112757,17,2284.508677,True,potato
116.083551,22,2289.766864,True,potato
108.74095,35,2296.370734,True,potato
110.787652,32,2304.54412,True,potato
113.459322,20,2310.883776,True,potato
130.895068,23,2316.985485,True,potato
112.45404,20,2323.105989,True,potato
151.717992,21,2329.747949,True,potato
118.451105,21,2336.454761,True,potato
110.618783,28,2343.53037,True,potato
128.872595,35,2349.425721,True,potato
117.092929,24,2356.454912,True,potato
112.329654,20,2363.353871,True,potato
115.589315,19,2369.17039,True,potato
113.528823,16,2374.752377,True,potato
153.745281,21,2380.273584,True,potato
110.562305,20,2387.573073,True,potato
126.642707,22,2393.706093,True,potato
114.218491,21,2399.847461,True,potato
112.379557,20,2405.988804,True,potato
114.852338,22,2412.851163,True,potato
130.775357,21,2420.626704,True,potato
113.328164,20,2427.113396,True,potato
112.616686,29,2433.154433,True,potato
114.890949,25,2438.871147,True,potato
115.462276,27,2445.815193,True,potato
133.26203,22,2452.713357,True,potato
111.157438,23,2459.142782,True,potato
131.002825,23,2464.619033,True,potato
127.708161,25,2471.080664,True,potato
133.067974,24,2476.963504,True,potato
135.658723,20,2483.306483,True,potato
117.403848,24,2490.216068,True,potato
130.500599,23,2497.058746,True,potato
114.740613,25,2504.330198,True,potato
110.375049,27,2510.53463,True,potato
151.919315,17,2515.382068,True,potato
115.603522,22,2521.935008,True,potato
111.621339,17,2527.96895,True,potato
133.564669,27,2535.120157,True,potato
116.051058,24,2540.52842,True,potato
128.69588,20,2546.325985,True,potato
130.522005,31,2553.646933,True,potato
149.008818,19,2559.220468,True,potato
129.542395,22,2566.657914,True,potato
130.456453,22,2572.469224,True,potato
168.072259,17,2578.084416,True,potato
129.125275,20,2586.21085,True,potato
115.442338,21,2592.665691,True,potato
148.25679,28,2601.895879,True,potato
144.905542,22,2607.272336,True,potato
113.951976,17,2611.775947,True,potato
133.88554,20,2619.132672,True,potato
131.220116,24,2626.307766,True,potato
113.411008,25,2632.588544,True,potato
114.778812,27,2639.050226,True,potato
116.63203,24,2647.15957,True,potato
137.577042,23,2653.104514,True,potato
111.175732,23,2659.731231,True,potato
113.277297,18,2666.238665,True,potato
115.674048,18,2671.630349,True,potato
113.76588,15,2677.690747,True,potato
130.051435,19,2683.426481,True,potato
111.395049,19,2689.086634,True,potato
150.151608,23,2695.762444,True,potato
132.704048,21,2701.492592,True,potato
114.912936,20,2707.740198,True,potato
131.127823,22,2714.802675,True,potato
131.586371,16,2720.953687,True,potato
114.726039,22,2726.244498,True,potato
112.229654,20,2732.911766,True,potato
116.021987,19,2739.403718,True,potato
115.231529,21,2745.451056,True,potato
131.540228,19,2752.113512,True,potato
111.439315,19,2758.041324,True,potato
130.78554,20,2764.490977,True,potato
113.935219,27,2771.64251,True,potato
130.867726,19,2777.330315,True,potato
115.289534,19,2783.099189,True,potato
134.54554,21,2788.399645,True,potato
133.529315,27,2794.749265,True,potato
109.394328,27,2800.070861,True,potato
114.459521,17,2805.753584,True,potato
131.855842,26,2811.823181,True,potato
133.979315,23,2817.824856,True,potato
129.925421,22,2824.074189,True,potato
115.181058,22,2830.266362,True,potato
150.609936,21,2836.374141,True,potato
149.112259,16,2841.757489,True,potato
133.621155,21,2847.195679,True,potato
114.519359,25,2854.48317,True,potato
112.631729,21,2860.862245,True,potato
166.887032,21,2866.701454,True,potato
128.708823,21,2874.389321,True,potato
132.070602,33,2880.698145,True,potato
130.49655,23,2886.872094,True,potato
110.385771,24,2894.623385,True,potato
130.069315,19,2900.281141,True,potato
130.31554,23,2905.670151,True,potato
129.438491,19,2911.312014,True,potato
113.067606,29,2917.486353,True,potato
131.874016,20,2923.542708,True,potato
112.243248,24,2930.886179,True,potato
154.946992,20,2936.662674,True,potato
128.19588,23,2943.381681,True,potato
109.572598,19,2949.456324,True,potato
130.455049,19,2954.665772,True,potato
129.528823,16,2960.84498,True,potato
130.04588,18,2966.425737,True,potato
115.655972,32,2974.547246,True,potato
148.17554,21,2980.233605,True,potato
112.761986,21,2985.972289,True,potato
114.959315,16,2991.625277,True,potato
128.98588,17,2998.334468,True,potato
111.752886,24,3004.670451,True,potato
150.738823,17,3009.090262,True,potato
129.184341,19,3015.213295,True,potato
111.362439,18,3021.006779,True,potato
112.628823,16,3027.781256,True,potato
147.820275,26,3034.290618,True,potato
132.799265,22,3040.382172,True,potato
127.532389,20,3047.093861,True,potato
114.952439,17,3052.889183,True,potato
149.72554,34,3060.677633,True,potato
130.092105,24,3068.393829,True,potato
-0.390685,23,3074.067595,False,potato
129.225049,22,3079.946111,True,potato
112.604428,15,3086.02992,True,potato
150.173507,21,3091.831365,True,potato
112.218823,19,3097.825506,True,potato
130.001766,29,3103.61035,True,potato
132.393557,18,3108.730291,True,potato
113.340219,24,3116.23332,True,potato
111.523833,17,3121.797591,True,potato
131.145759,21,3127.666545,True,potato
114.809653,23,3134.006714,True,potato
131.708563,24,3140.558593,True,potato
129.650578,22,3146.479292,True,potato
111.554625,32,3152.026079,True,potato
130.318056,20,3157.75875,True,potato
133.81554,20,3164.521629,True,potato
133.434048,24,3171.569601,True,potato
150.336159,18,3178.743008,True,potato
131.963557,20,3185.927077,True,potato
134.572105,19,3192.037746,True,potato
147.899315,20,3198.803273,True,potato
112.122598,19,3206.228423,True,potato
167.802259,19,3210.770518,True,potato
130.455049,20,3215.905707,True,potato
112.30687,22,3222.296096,True,potato
131.694048,25,3228.324902,True,potato
109.112598,18,3234.074173,True,potato
130.890578,18,3239.343128,True,potato
112.86482,25,3245.836914,True,potato
136.044048,30,3252.980871,True,potato
113.882936,17,3259.572165,True,potato
131.322105,17,3266.040664,True,potato
145.639315,24,3271.977021,True,potato
129.674291,23,3278.112152,True,potato
131.327727,19,3282.531462,True,potato
