#{"t_start": 1780861332.801356, "env_id": "None"}
r,l,t,target
-28.674148,100,1148.41444,N/A
-33.18385,100,1154.955687,N/A
53.212583,75,1160.321196,clay
70.271201,38,1165.532959,clay
59.598757,38,1169.554728,clay
35.234926,33,1173.23143,clay
-9.266315,100,1179.955369,clay
32.030889,70,1185.269926,clay
72.624333,21,1188.559762,clay
68.201704,56,1193.103046,clay
56.446108,40,1196.946673,clay
17.46656,55,1201.31945,clay
70.16314,48,1205.946205,clay
76.293414,14,1208.865629,clay
58.038163,59,1213.787306,clay
67.352474,39,1217.43346,clay
-26.114527,100,1224.200233,N/A
22.845751,96,1230.432605,clay
41.160218,32,1234.340314,clay
52.611757,43,1239.791966,clay
52.954245,68,1244.907084,clay
39.13728,42,1249.122308,clay
60.293615,56,1253.920008,clay
56.75795,51,1258.888696,clay
20.261192,96,1265.092808,clay
36.266204,71,1271.090799,clay
77.291914,27,1274.670543,clay
58.366106,34,1278.541051,clay
63.539869,77,1284.603246,clay
-31.062413,100,1291.81886,clay
54.71702,54,1296.326082,clay
45.227493,58,1301.59857,clay
26.799785,55,1306.208274,clay
77.994434,22,1309.199672,clay
34.109763,69,1314.870848,clay
21.212865,65,1319.783966,clay
29.044436,80,1325.759249,clay
27.108838,90,1331.870883,clay
58.550545,31,1335.723601,clay
29.449714,32,1339.534852,clay
68.060067,46,1345.39784,clay
75.546972,31,1348.780588,clay
61.394434,24,1352.080243,clay
53.644218,46,1356.697845,clay
50.772197,99,1362.908052,clay
87.19018,19,1366.596556,clay
86.918672,24,1370.664422,clay
85.95,10,1373.601798,clay
-0.600489,100,1380.295349,clay
27.601034,62,1385.49548,clay
57.571288,38,1389.756364,clay
58.923442,32,1393.438145,clay
51.509431,42,1398.096017,clay
74.46,14,1400.783265,clay
65.37203,36,1404.778101,clay
68.555047,35,1408.748638,clay
73.886266,28,1412.267193,clay
81.661219,20,1415.443664,clay
29.878428,61,1420.569104,clay
33.867428,64,1425.711897,clay
89.134214,16,1428.615249,clay
60.345467,38,1432.766527,clay
73.487288,20,1435.981684,clay
56.998771,45,1440.393022,clay
60.83918,100,1447.74143,clay
68.740567,33,1451.530648,clay
71.857325,34,1455.030082,clay
73.261379,48,1459.729747,clay
5.763834,89,1465.801812,clay
66.38,27,1469.12414,clay
20.741407,77,1474.712554,clay
39.708984,95,1481.494791,clay
87.667181,22,1484.493997,clay
58.321124,56,1489.391409,clay
53.387747,55,1494.028827,clay
20.001696,57,1498.939242,clay
64.544685,34,1502.626116,clay
73.705031,24,1505.980736,clay
42.933146,32,1509.665217,clay
85.152021,12,1512.47368,clay
67.967165,25,1516.236993,clay
81.341097,13,1519.218708,clay
74.625946,31,1522.912145,clay
67.220886,35,1526.842929,clay
56.490059,53,1532.342522,clay
67.081391,21,1535.42645,clay
38.562823,66,1540.717004,clay
98.447656,14,1543.816999,clay
48.948606,26,1547.231365,clay
10.376321,64,1553.82386,clay
68.385409,41,1557.695361,clay
67.107074,50,1562.727708,clay
70.356265,43,1567.368868,clay
59.907336,34,1571.027647,clay
72.099138,44,1575.17074,clay
81.647922,21,1578.62362,clay
63.280715,41,1582.74122,clay
40.877187,42,1586.826411,clay
34.745256,58,1591.182107,clay
39.416922,69,1596.725717,clay
6.890619,49,1601.781813,clay
28.436418,33,1605.623137,clay
51.45232,33,1609.147084,clay
53.152278,30,1612.560931,clay
27.120136,61,1617.453026,clay
29.974994,67,1623.228068,clay
73.494632,27,1626.986224,clay
47.006718,31,1630.372743,clay
51.788874,40,1635.716035,clay
57.701842,26,1639.10701,clay
57.532338,57,1643.621184,clay
68.116125,25,1646.804156,clay
56.88,42,1651.180434,clay
65.01065,23,1654.396469,clay
88.999973,20,1658.55832,clay
38.4295,36,1662.512188,clay
58.309633,36,1666.40475,clay
-34.685934,100,1674.504437,N/A
55.627658,26,1678.498106,clay
53.87069,52,1684.225162,clay
24.940338,89,1690.549626,clay
60.673453,31,1694.491834,clay
71.141097,18,1697.523811,clay
73.679141,14,1700.456714,clay
58.513361,21,1703.783136,clay
54.596318,25,1707.085186,clay
88.18,7,1709.685267,clay
30.380546,52,1714.837903,clay
22.661639,66,1719.983219,clay
66.743403,37,1723.91713,clay
56.62921,57,1728.63448,clay
68.310361,29,1732.541739,clay
30.660174,54,1738.104376,clay
4.780307,100,1745.12265,clay
75.816625,16,1748.075439,clay
80.888836,23,1751.563967,clay
67.590927,42,1756.104857,clay
59.73118,25,1759.341939,clay
40.711434,78,1766.338569,clay
52.041097,28,1770.936519,clay
39.600492,38,1775.318875,clay
57.920453,33,1779.182391,clay
54.99755,40,1783.711955,clay
58.170611,56,1788.551684,clay
29.258603,73,1794.622632,clay
65.116725,54,1800.279243,clay
96.05,15,1803.156128,clay
72.130938,28,1806.783448,clay
37.658145,38,1811.267118,clay
62.67029,49,1815.706223,clay
60.290341,77,1821.86694,clay
59.469243,24,1825.99047,clay
74.057922,28,1830.640453,clay
79.530492,10,1834.242754,clay
70.052331,39,1838.560853,clay
68.536452,25,1841.904796,clay
65.939585,32,1845.487137,clay
64.396266,64,1850.614925,clay
77.17,13,1853.447709,clay
54.410829,23,1856.823535,clay
8.170562,52,1863.308158,clay
62.992758,36,1867.154574,clay
100.727656,14,1869.98258,clay
59.092543,29,1873.400363,clay
74.299463,17,1876.544956,clay
71.543233,33,1880.529412,clay
73.02023,27,1884.059529,clay
30.378535,62,1889.636659,clay
41.614041,33,1893.199158,clay
79.67957,27,1897.131458,clay
31.485217,35,1901.63954,clay
102.487288,13,1904.87328,clay
69.873139,47,1909.258394,clay
68.920492,36,1914.528024,clay
70.729304,38,1918.250393,clay
91.067593,16,1921.62233,clay
90.231915,19,1925.100545,clay
57.102731,38,1929.500091,clay
52.059989,23,1933.003119,clay
74.221364,13,1935.739678,clay
73.925966,21,1938.71449,clay
82.17,8,1941.150924,clay
20.177451,49,1947.340076,clay
27.801108,54,1952.74793,clay
69.266625,21,1956.054518,clay
94.95752,19,1960.628133,clay
22.281038,74,1965.884472,clay
64.692061,67,1972.18074,clay
71.22933,35,1976.934319,clay
73.355966,13,1979.773315,clay
31.885927,51,1984.191736,clay
53.333932,43,1988.436395,clay
65.038539,35,1992.08781,clay
75.800612,26,1995.615225,clay
94.65,15,1998.669217,clay
24.275908,60,2003.458026,clay
49.830472,55,2009.040598,clay
66.3,20,2012.182725,clay
62.152011,45,2016.701684,clay
71.826559,32,2020.495228,clay
31.979532,31,2024.130989,clay
73.839962,47,2028.856232,clay
91.021499,12,2032.455998,clay
63.463246,43,2037.16911,clay
88.311364,19,2040.149548,clay
64.87,33,2043.740912,clay
64.186068,68,2049.01703,clay
43.045631,52,2054.90845,clay
66.255356,30,2058.272377,clay
65.91392,29,2062.278116,clay
64.444704,20,2065.498533,clay
90.9,15,2068.394552,clay
83.567191,18,2072.05711,clay
74.285877,31,2075.951831,clay
70.812578,34,2079.626937,clay
