#{"t_start": 1780992508.287843, "env_id": "None"}
r,l,t,task_success,target
16.552829,42,2093.640847,False,carrot
112.352554,43,2104.593095,True,carrot
110.740115,170,2119.412878,True,carrot
110.567007,55,2127.499634,True,carrot
13.60018,189,2143.728871,False,carrot
116.841397,78,2152.642479,True,carrot
110.370723,63,2161.063535,True,carrot
5.255101,140,2174.438246,False,carrot
9.986587,182,2191.369168,False,carrot
116.485049,41,2197.381833,True,carrot
112.695333,43,2205.279904,True,carrot
14.330241,54,2213.918841,False,carrot
117.425963,183,2228.726935,True,carrot
16.984366,82,2238.116845,False,carrot
22.33731,108,2250.776161,False,carrot
12.780949,174,2266.933193,False,carrot
116.039824,56,2274.129917,True,carrot
116.064538,77,2284.789541,True,carrot
12.510675,52,2293.846939,False,carrot
116.382909,52,2301.647205,True,carrot
119.479956,55,2309.663949,True,carrot
111.514408,49,2317.752122,True,carrot
114.478997,39,2325.099971,True,carrot
115.150244,81,2335.51439,True,carrot
117.992508,112,2348.26581,True,carrot
121.836008,149,2362.450004,True,carrot
120.604957,71,2371.443677,True,carrot
115.437736,76,2381.467216,True,carrot
120.200522,85,2391.518682,True,carrot
116.740611,80,2401.080789,True,carrot
109.913035,105,2412.537505,True,carrot
113.884767,181,2427.543753,True,carrot
114.949565,71,2437.713219,True,carrot
112.500342,52,2445.626581,True,carrot
117.309531,71,2455.343842,True,carrot
120.167911,152,2470.402751,True,carrot
112.630056,118,2481.848871,True,carrot
113.459967,64,2490.464953,True,carrot
116.566601,88,2501.27746,True,carrot
111.188087,75,2511.059151,True,carrot
117.484677,88,2521.788477,True,carrot
117.989276,66,2530.206189,True,carrot
133.361176,94,2539.781653,True,carrot
113.17596,66,2547.297501,True,carrot
110.233983,47,2554.423739,True,carrot
136.303701,57,2565.029033,True,carrot
118.866709,164,2579.568837,True,carrot
119.655666,76,2588.688132,True,carrot
112.338441,34,2594.641853,True,carrot
112.509674,112,2604.912846,True,carrot
111.890022,35,2611.986924,True,carrot
109.817626,34,2617.996989,True,carrot
111.141977,39,2625.231246,True,carrot
110.308049,40,2631.450409,True,carrot
115.410486,100,2642.25908,True,carrot
117.035627,68,2650.60066,True,carrot
109.765125,55,2658.124756,True,carrot
117.180768,60,2666.249072,True,carrot
121.576382,173,2681.185332,True,carrot
114.30497,72,2689.781398,True,carrot
114.018863,39,2697.182568,True,carrot
118.223285,85,2706.359814,True,carrot
116.343487,81,2715.404092,True,carrot
117.023371,78,2723.973605,True,carrot
113.093686,59,2731.884803,True,carrot
113.761855,85,2741.264886,True,carrot
30.522622,189,2758.11603,False,carrot
117.309112,117,2769.307052,True,carrot
114.693345,115,2781.695154,True,carrot
139.739291,152,2797.043648,True,carrot
113.722087,90,2806.824452,True,carrot
115.854441,36,2812.956353,True,carrot
116.688413,59,2821.655393,True,carrot
113.521353,81,2831.645122,True,carrot
123.383844,100,2841.631329,True,carrot
112.535895,41,2849.002735,True,carrot
112.171025,32,2855.007773,True,carrot
110.357336,104,2866.306678,True,carrot
27.388687,200,2882.329514,False,carrot
117.941271,155,2896.359966,True,carrot
116.769611,96,2906.252665,True,carrot
128.684157,22,2911.632874,True,carrot
12.749114,69,2920.345203,False,carrot
112.184248,57,2927.853455,True,carrot
115.684327,90,2937.449574,True,carrot
110.680744,30,2943.663594,True,carrot
114.300224,56,2951.713487,True,carrot
117.30766,42,2959.802231,True,carrot
111.976626,35,2966.534205,True,carrot
122.09065,108,2978.227763,True,carrot
116.003392,26,2983.777661,True,carrot
117.967315,73,2992.709082,True,carrot
113.764232,42,2999.521822,True,carrot
117.095623,51,3006.845856,True,carrot
112.150664,45,3014.728488,True,carrot
113.096249,55,3022.702955,True,carrot
114.057286,37,3029.151649,True,carrot
112.377774,34,3035.656642,True,carrot
114.659185,29,3042.006727,True,carrot
12.056615,60,3051.359636,False,carrot
114.026006,39,3058.550461,True,carrot
113.459652,31,3064.938512,True,carrot
117.506045,106,3077.45751,True,carrot
114.817522,35,3083.555908,True,carrot
119.59094,54,3091.33748,True,carrot
118.373448,96,3101.472349,True,carrot
111.244762,91,3111.418558,True,carrot
117.223963,72,3120.446056,True,carrot
108.444531,74,3129.69715,True,carrot
110.481847,87,3138.666646,True,carrot
116.167297,69,3149.103197,True,carrot
119.09941,54,3157.680101,True,carrot
115.947614,49,3164.643457,True,carrot
114.640531,44,3171.778073,True,carrot
115.880863,55,3180.257687,True,carrot
113.043928,26,3186.292213,True,carrot
115.220177,57,3194.241023,True,carrot
116.749122,40,3202.919677,True,carrot
115.922161,70,3211.48678,True,carrot
114.729188,37,3218.513195,True,carrot
114.337202,64,3226.597149,True,carrot
112.343428,30,3232.581306,True,carrot
113.808651,86,3241.278612,True,carrot
117.954804,33,3247.930612,True,carrot
115.081567,44,3254.962367,True,carrot
118.105881,42,3261.840342,True,carrot
114.014006,48,3269.413177,True,carrot
108.395578,56,3277.546046,True,carrot
113.135838,35,3284.010233,True,carrot
120.267831,57,3291.785283,True,carrot
17.225825,98,3302.358581,False,carrot
117.008429,75,3311.858051,True,carrot
113.313251,23,3317.304413,True,carrot
108.823905,35,3323.948242,True,carrot
112.291457,36,3330.416328,True,carrot
113.333078,32,3337.789462,True,carrot
110.917311,36,3344.501981,True,carrot
134.600016,54,3352.411015,True,carrot
109.485635,31,3359.029351,True,carrot
117.092967,75,3368.075647,True,carrot
113.010174,21,3374.71199,True,carrot
108.934733,35,3380.97438,True,carrot
111.824271,41,3387.452339,True,carrot
116.644227,29,3392.86944,True,carrot
108.090278,40,3400.804517,True,carrot
133.359602,47,3407.529677,True,carrot
111.575521,81,3416.98228,True,carrot
111.754047,25,3422.738869,True,carrot
114.477774,143,3436.815422,True,carrot
109.126702,73,3445.494582,True,carrot
114.883056,47,3453.063898,True,carrot
118.163682,43,3460.208266,True,carrot
110.033549,33,3466.979932,True,carrot
112.113447,29,3473.670579,True,carrot
114.958582,38,3481.150266,True,carrot
108.071615,39,3490.983865,True,carrot
114.59682,36,3499.595482,True,carrot
112.278525,45,3512.084657,True,carrot
112.428126,26,3521.473684,True,carrot
114.49493,58,3530.493328,True,carrot
116.506549,65,3541.182555,True,carrot
115.313266,37,3547.60776,True,carrot
114.827248,67,3556.21487,True,carrot
123.469358,60,3564.108672,True,carrot
114.180016,35,3571.642954,True,carrot
15.470906,59,3579.238014,False,carrot
