#{"t_start": 1780971857.810436, "env_id": "None"}
r,l,t,task_success,target
-3.350083,31,1364.66536,False,wheat
129.094365,31,1371.202567,True,wheat
132.614048,22,1378.191046,True,potato
130.035049,18,1384.59228,True,potato
128.573952,19,1390.813143,True,potato
131.133557,22,1397.385727,True,potato
127.399466,26,1404.318764,True,potato
131.8965,23,1410.828862,True,potato
-0.749994,51,1419.0592,False,wheat
109.833194,24,1425.368637,True,wheat
149.54241,20,1432.091869,True,wheat
134.181105,24,1438.417269,True,carrot
130.452105,20,1446.753984,True,carrot
150.8865,24,1453.595089,True,carrot
129.2365,22,1460.718718,True,wheat
-20.641177,19,1467.267038,False,wheat
131.075454,23,1474.313442,True,wheat
132.55246,21,1480.756605,True,potato
151.351629,22,1487.639345,True,potato
132.564048,22,1494.542315,True,potato
129.265404,22,1501.337906,True,carrot
111.117727,17,1507.901809,True,carrot
131.032105,18,1514.667296,True,carrot
128.45241,21,1520.398949,True,wheat
132.044048,25,1527.222207,True,wheat
0.736686,27,1534.49256,False,wheat
128.741008,21,1541.383348,True,potato
130.095049,19,1548.040301,True,potato
130.74554,21,1554.653649,True,potato
132.015008,24,1561.499138,True,carrot
150.297732,31,1568.999822,True,carrot
129.05246,26,1576.683921,True,carrot
152.647952,22,1583.33801,True,wheat
127.614783,17,1589.859667,True,wheat
21.05639,40,1597.871445,False,wheat
127.689466,25,1605.80467,True,potato
130.575049,17,1612.153958,True,potato
130.782105,18,1617.765799,True,potato
131.615454,22,1624.533812,True,carrot
131.684048,21,1631.288431,True,carrot
147.253952,22,1638.034643,True,carrot
148.405404,21,1644.859558,True,potato
130.165049,20,1650.679613,True,potato
152.800591,26,1656.998522,True,potato
132.00655,24,1663.879719,True,carrot
147.00241,21,1670.87402,True,carrot
132.92655,21,1677.663226,True,carrot
10.423847,31,1684.214938,False,wheat
145.927372,32,1691.442345,True,wheat
153.006211,24,1698.282983,True,wheat
130.799315,17,1704.865211,True,carrot
3.05655,31,1712.24876,False,carrot
131.563557,20,1719.26671,True,carrot
128.364733,27,1726.781677,True,wheat
127.513902,18,1733.613118,True,wheat
127.70241,26,1741.536559,True,wheat
29.11588,20,1748.419844,False,potato
134.962349,28,1756.591182,True,potato
131.89655,25,1763.320474,True,potato
130.50246,21,1770.268568,True,potato
148.2865,22,1776.768782,True,potato
152.589494,27,1784.097527,True,potato
114.60251,26,1791.347495,True,carrot
148.779444,21,1798.231066,True,carrot
151.188397,24,1804.527667,True,carrot
129.325049,22,1811.734799,True,wheat
141.848397,20,1818.123979,True,wheat
146.379936,38,1826.419881,True,wheat
18.733031,24,1833.006729,False,wheat
50.59634,31,1839.810902,False,wheat
148.375049,22,1846.862827,True,wheat
133.128002,25,1855.167068,True,carrot
133.767647,23,1862.223533,True,carrot
152.309494,24,1869.839498,True,carrot
132.92655,21,1876.86563,True,potato
11.044783,20,1883.003655,False,potato
132.92655,21,1889.939217,True,potato
132.724048,22,1897.101602,True,wheat
146.672358,31,1905.420433,True,wheat
118.000958,17,1911.847205,True,wheat
108.567006,25,1919.186785,True,carrot
151.7265,21,1926.01539,True,carrot
129.150918,25,1933.01397,True,carrot
131.580613,24,1940.31281,True,potato
129.139315,23,1952.554808,True,potato
130.85246,22,1959.773214,True,potato
151.030137,29,1966.520594,True,potato
130.925454,23,1973.899196,True,potato
130.575049,17,1980.432971,True,potato
131.63251,24,1987.619713,True,carrot
115.322597,19,1994.111079,True,carrot
150.767952,29,2002.193619,True,carrot
130.05554,19,2008.941823,True,wheat
147.715404,24,2016.090824,True,wheat
148.486896,20,2023.179531,True,wheat
112.801409,20,2030.842694,True,potato
130.602105,20,2038.139947,True,potato
132.58655,22,2045.3535,True,potato
137.259221,24,2051.783353,True,carrot
132.199782,24,2059.11195,True,carrot
130.25246,21,2067.156417,True,carrot
3.999653,30,2074.027303,False,wheat
125.787727,29,2081.044435,True,wheat
-10.481336,20,2087.622935,False,wheat
4.133557,22,2094.428837,False,potato
132.36655,24,2101.514665,True,potato
154.723629,31,2109.025516,True,potato
141.806855,20,2115.665991,True,wheat
124.951549,33,2122.99071,True,wheat
130.891766,32,2130.506801,True,wheat
132.481234,32,2137.952901,True,carrot
151.779494,25,2145.976722,True,carrot
167.287992,22,2161.698838,True,carrot
150.704218,21,2169.560424,True,carrot
131.51655,25,2177.538823,True,carrot
130.803557,24,2184.905712,True,carrot
122.65063,53,2194.567034,True,wheat
18.245791,37,2202.523746,False,wheat
-3.076128,25,2209.643733,False,wheat
130.276371,27,2217.521079,True,potato
113.448823,18,2224.291018,True,potato
149.485404,26,2230.823555,True,potato
131.292952,22,2237.9373,True,carrot
144.082598,22,2245.05766,True,carrot
32.24655,23,2251.878139,False,carrot
132.110635,30,2259.537771,True,potato
132.1265,21,2266.314765,True,potato
129.53655,27,2273.719446,True,potato
122.410137,22,2280.909859,True,wheat
121.545454,20,2287.928051,True,wheat
-4.247225,25,2295.441685,False,wheat
119.529466,19,2302.082884,True,wheat
129.52588,27,2309.299379,True,wheat
131.465454,22,2317.075033,True,wheat
148.795049,19,2324.523026,True,carrot
149.041766,34,2332.734378,True,carrot
130.318065,24,2339.877033,True,carrot
131.739849,23,2346.691809,True,potato
149.8965,20,2353.554983,True,potato
129.616371,25,2360.592792,True,potato
147.717992,23,2368.529831,True,potato
110.338015,21,2375.293778,True,potato
132.63655,22,2382.274407,True,potato
3.202105,20,2389.444187,False,wheat
119.239466,20,2396.477303,True,wheat
131.570275,19,2403.253074,True,wheat
115.32251,23,2410.472546,True,carrot
118.183267,30,2418.12886,True,carrot
117.307071,23,2425.604221,True,carrot
147.076896,19,2432.294822,True,carrot
152.459444,21,2439.190257,True,carrot
128.664783,17,2445.929339,True,carrot
129.13246,24,2453.015966,True,wheat
126.974733,18,2460.913194,True,wheat
126.907727,21,2467.86748,True,wheat
115.61251,22,2476.429796,True,potato
129.165404,22,2483.905482,True,potato
130.695454,25,2491.381022,True,potato
128.369466,23,2498.869845,True,potato
128.628823,21,2506.183757,True,potato
129.656523,22,2513.816312,True,potato
129.655049,20,2521.641174,True,carrot
151.808397,21,2529.173095,True,carrot
129.73246,24,2537.369553,True,carrot
147.245049,21,2545.438039,True,wheat
146.589129,23,2553.112925,True,wheat
149.099986,30,2560.924635,True,wheat
131.95655,24,2568.555972,True,carrot
127.887727,19,2575.96404,True,carrot
129.702105,25,2582.872189,True,carrot
129.953557,24,2590.518593,True,potato
128.481169,19,2596.395028,True,potato
130.375404,23,2603.577409,True,potato
129.27246,28,2611.525047,True,wheat
-14.634522,30,2620.184133,False,wheat
121.505454,21,2628.24624,True,wheat
133.645349,28,2636.663495,True,carrot
128.904783,21,2643.803759,True,carrot
133.173008,29,2651.494154,True,carrot
129.11588,20,2658.442131,True,wheat
12.2413,39,2667.146204,False,wheat
147.707387,29,2674.391831,True,wheat
132.09655,23,2682.069132,True,potato
126.146235,29,2689.814894,True,potato
145.088015,21,2698.46234,True,potato
132.720137,33,2706.550834,True,potato
150.618889,26,2713.8754,True,potato
115.41588,15,2720.526553,True,potato
129.665049,20,2727.820608,True,carrot
149.028823,21,2734.92098,True,carrot
166.856896,22,2742.368535,True,carrot
-1.082273,17,2748.993291,False,wheat
132.67655,21,2756.544454,True,wheat
122.143557,18,2763.034924,True,wheat
131.175454,23,2770.435802,True,carrot
130.736371,19,2777.994934,True,carrot
133.677042,23,2785.432456,True,carrot
130.575049,17,2792.57293,True,potato
130.9265,21,2799.704965,True,potato
129.024783,18,2806.523137,True,potato
149.838042,27,2813.848057,True,wheat
138.250087,31,2821.754745,True,wheat
145.12241,28,2829.717004,True,wheat
132.103557,19,2836.890023,True,carrot
132.957042,26,2844.62942,True,carrot
133.021105,23,2857.834198,True,carrot
124.499276,70,2883.878788,True,wheat
105.271767,57,2893.589479,True,wheat
-15.219409,24,2900.862926,False,wheat
129.96554,23,2908.206705,True,potato
126.184733,19,2915.619078,True,potato
25.91067,21,2924.979932,False,potato
132.862259,26,2933.70186,True,wheat
127.359466,27,2944.418819,True,wheat
37.545158,58,2956.865183,False,wheat
126.724733,18,2967.007012,True,potato
128.397727,22,2977.367263,True,potato
128.442547,31,2987.95296,True,potato
143.570958,29,2998.025692,True,carrot
115.025049,19,3007.483312,True,carrot
129.981274,24,3016.628474,True,carrot
128.410177,24,3026.593715,True,potato
132.897647,26,3036.705737,True,potato
128.117727,17,3045.994158,True,potato
125.308823,29,3057.044387,True,wheat
5.777042,23,3066.175132,False,wheat
-7.313765,23,3076.195355,False,wheat
131.473912,27,3085.430071,True,carrot
130.84655,28,3095.113507,True,carrot
112.921008,19,3104.285691,True,carrot
132.47997,24,3114.122133,True,carrot
129.349494,28,3124.435614,True,carrot
128.723952,19,3133.109314,True,carrot
144.184733,19,3142.796349,True,wheat
130.705454,31,3152.874862,True,wheat
10.44152,22,3165.697791,False,wheat
125.87241,28,3177.453143,True,potato
131.133557,22,3188.257406,True,potato
127.205732,22,3197.800621,True,potato
109.334494,34,3208.343744,True,wheat
103.383902,17,3217.281276,True,wheat
-6.156443,28,3228.210882,False,wheat
131.755454,21,3238.142706,True,potato
131.874048,23,3248.348817,True,potato
132.616687,26,3258.606768,True,potato
129.516855,26,3270.863299,True,carrot
126.678015,30,3281.387811,True,carrot
149.045404,25,3291.170313,True,carrot
132.867042,27,3301.171068,True,carrot
128.600177,25,3310.880026,True,carrot
146.273952,24,3319.864786,True,carrot
151.312597,23,3329.1659,True,potato
146.465049,21,3339.199203,True,potato
132.207042,26,3348.759677,True,potato
130.10383,23,3359.086688,True,wheat
131.464048,27,3369.697585,True,wheat
112.496235,29,3380.57684,True,wheat
150.200767,24,3391.003954,True,wheat
129.275049,22,3401.238894,True,wheat
129.622105,22,3410.254219,True,wheat
132.567042,27,3419.23374,True,carrot
27.504783,21,3427.80788,False,carrot
131.954048,26,3437.450966,True,carrot
128.451638,20,3446.103852,True,potato
129.57246,23,3455.253961,True,potato
127.778823,21,3464.358076,True,potato
142.077056,23,3475.03816,True,wheat
132.184703,30,3485.801599,True,wheat
149.04241,20,3495.477405,True,wheat
151.752726,25,3505.157289,True,carrot
129.592105,24,3513.836104,True,carrot
132.424048,23,3523.345303,True,carrot
130.844048,25,3532.160742,True,potato
130.843557,28,3540.653453,True,potato
131.440613,23,3549.632001,True,potato
125.197727,25,3559.095589,True,potato
134.024098,23,3567.539604,True,potato
129.772597,26,3577.085274,True,potato
6.252127,28,3585.354651,False,wheat
132.551507,18,3594.107558,True,wheat
7.355908,87,3609.703222,False,wheat
126.967727,22,3621.523139,True,carrot
110.32067,17,3631.558685,True,carrot
130.413557,25,3641.051207,True,carrot
30.149544,28,3650.180948,False,potato
130.412597,28,3661.113718,True,potato
127.918015,24,3671.107783,True,potato
123.605542,42,3683.633003,True,wheat
142.647727,30,3693.665354,True,wheat
121.193557,23,3703.495414,True,wheat
111.814733,17,3713.107092,True,carrot
-3.9,200,3740.770317,False,carrot
129.249466,22,3751.513556,True,carrot
131.242597,21,3760.762484,True,wheat
150.783269,25,3770.767649,True,wheat
19.330474,41,3783.690925,False,wheat
129.166992,27,3793.231637,True,potato
128.768347,22,3802.686373,True,potato
131.922597,19,3813.226541,True,potato
132.398444,24,3823.565919,True,carrot
127.90241,26,3833.323488,True,carrot
110.82241,23,3842.693594,True,carrot
22.536992,24,3852.049099,False,potato
153.618951,28,3862.221659,True,potato
142.699507,23,3871.551999,True,potato
131.782597,20,3881.163408,True,carrot
149.825404,23,3895.063763,True,carrot
128.635049,18,3904.72174,True,carrot
-7.550087,41,3915.877227,False,wheat
127.505049,25,3925.28284,True,wheat
128.900767,29,3933.945822,True,wheat
132.05655,24,3944.125292,True,carrot
111.503194,23,3953.89557,True,carrot
153.702958,22,3964.812375,True,carrot
123.854733,21,3974.010137,True,potato
131.161507,24,3983.728997,True,potato
131.704048,21,3994.225366,True,potato
134.173008,24,4003.457197,True,wheat
127.165162,39,4015.106066,True,wheat
151.095404,25,4024.280283,True,wheat
127.943952,21,4033.098043,True,carrot
112.355404,21,4042.391717,True,carrot
4.732309,27,4053.137892,False,carrot
129.656523,22,4062.942231,True,potato
127.266613,25,4072.580184,True,potato
130.002726,30,4082.710717,True,potato
129.032597,35,4093.008189,True,wheat
127.672122,21,4102.389641,True,wheat
19.913701,35,4112.879207,False,wheat
149.658823,19,4122.347723,True,carrot
134.278138,26,4131.298452,True,carrot
32.24655,23,4140.686568,False,carrot
153.460823,29,4150.600924,True,wheat
126.318823,32,4161.145984,True,wheat
17.310863,29,4171.605734,False,wheat
130.99655,33,4182.947449,True,potato
132.043606,23,4192.85906,True,potato
151.228397,23,4202.345943,True,potato
131.582338,22,4213.103372,True,potato
133.547647,23,4222.742095,True,potato
129.549315,20,4231.701836,True,potato
3.940578,21,4241.061346,False,wheat
125.853597,26,4250.483366,True,wheat
131.615454,22,4260.031225,True,wheat
133.705195,29,4269.985533,True,carrot
109.971096,17,4278.428713,True,carrot
112.640676,23,4287.888436,True,carrot
131.72655,26,4297.669676,True,carrot
147.865404,22,4306.694819,True,carrot
149.395029,35,4318.738268,True,carrot
132.91064,27,4330.010902,True,wheat
130.435049,18,4338.631661,True,wheat
17.007441,32,4347.610908,False,wheat
131.054048,26,4357.087272,True,potato
152.749494,28,4366.656345,True,potato
130.641008,21,4375.874545,True,potato
131.153557,24,4385.366486,True,carrot
130.721274,22,4394.483607,True,carrot
14.170625,36,4406.739633,False,carrot
-2.094805,24,4416.792151,False,wheat
123.517647,23,4426.897638,True,wheat
-7.325952,28,4437.065063,False,wheat
130.769516,23,4447.257942,True,potato
131.91655,25,4457.09554,True,potato
130.166992,27,4466.472883,True,potato
-3.430644,31,4476.968964,False,wheat
125.493282,21,4486.632468,True,wheat
0.88309,24,4495.970868,False,wheat
127.913952,23,4505.589622,True,carrot
114.378823,16,4513.891618,True,carrot
130.489315,19,4522.767132,True,carrot
130.31246,22,4532.044538,True,potato
128.708823,19,4542.199285,True,potato
132.742775,29,4553.091729,True,potato
-21.235887,17,4562.866296,False,wheat
150.479939,24,4573.402566,True,wheat
150.620591,28,4583.443997,True,wheat
132.63655,22,4592.695108,True,potato
129.559494,24,4602.256224,True,potato
127.620958,19,4611.030034,True,potato
129.571008,19,4619.96004,True,carrot
112.989315,19,4631.273176,True,carrot
-1.5,200,4664.221574,False,carrot
